,heading
856,0.056638307869434364
864,0.05751466378569602
872,0.058392945677042014
880,0.0592738538980484
888,0.060157954692840576
896,0.06104574725031853
904,0.0619376115500927
912,0.06283394992351532
920,0.06373495608568193
928,0.06464091688394548
936,0.06555209308862686
944,0.06646852940320969
952,0.06739045679569244
960,0.06831797957420349
968,0.06925109773874283
976,0.0700889527797699
984,0.07070128619670868
992,0.0711439698934555
1000,0.07142950594425201
1008,0.07158638536930084
1016,0.0718872994184494
1024,0.07231710851192474
1032,0.0727655217051506
1040,0.07316723465919495
1048,0.0734870657324791
1056,0.07371010631322861
1064,0.07383406907320023
1072,0.07386291027069093
1080,0.07380397617816925
1088,0.07366645336151123
1096,0.07345996052026749
1104,0.07319393008947372
1112,0.07287733256816864
1120,0.07251831144094467
1128,0.07212406396865845
1136,0.07170100510120392
1144,0.0712546855211258
1152,0.07080432027578354
1160,0.0704108402132988
1168,0.07006503641605377
1176,0.06975395977497101
1184,0.06946876645088196
1192,0.06908518821001053
1200,0.06845303624868393
1208,0.06767009198665619
1216,0.06680138409137726
1224,0.0658908560872078
1232,0.06496748328208922
1240,0.06404978036880493
1248,0.06314884126186371
1256,0.06227084621787071
1264,0.061418544501066215
1272,0.060592573136091225
1280,0.059792391955852515
1288,0.05901661142706871
1296,0.05826349928975105
1304,0.057531185448169715
1312,0.0568179078400135
1320,0.05612914264202118
1328,0.0554509311914444
1336,0.01318400911986828
1344,-0.1435546875
1352,-0.4585570991039276
1360,-0.95672607421875
1368,-1.6511534452438354
1376,-2.5354926586151123
1384,-3.5760202407836914
1392,-4.740571975708008
1400,-6.002933979034424
1408,-7.3423829078674325
1416,-8.74244213104248
1424,-10.190290451049805
1432,-11.676287651062012
1440,-13.193102836608887
1448,-14.73528003692627
1456,-16.298627853393555
1464,-17.880046844482422
1472,-19.4771728515625
1480,-21.088247299194336
1488,-22.711833953857425
1496,-24.34689712524414
1504,-25.99265480041504
1512,-27.648393630981445
1520,-29.3135929107666
1528,-30.98786926269531
1536,-32.67079544067383
1544,-34.362411499023445
1552,-36.06237411499024
1560,-37.770240783691406
1568,-39.48573303222656
1576,-41.20859146118164
1584,-42.93849182128906
1592,-44.67517852783203
1600,-46.36849594116211
1608,-47.98832321166992
1616,-49.60354995727539
1624,-51.24366760253906
1632,-52.90753936767578
1640,-54.59292221069336
1648,-56.297645568847656
1656,-58.01981735229492
1664,-59.75767135620117
1672,-61.50961303710938
1680,-63.274208068847656
1688,-65.05037689208984
1696,-66.83702087402344
1704,-68.63321685791016
1712,-70.438232421875
1720,-72.24913787841797
1728,-74.05320739746094
1736,-75.85416412353516
1744,-77.65469360351562
1752,-79.4555435180664
1760,-81.26515197753906
1768,-83.092041015625
1776,-84.92659759521484
1784,-86.76439666748047
1792,-88.60357666015625
1800,-90.44354248046876
1808,-92.28458404541016
1816,-94.1268081665039
1824,-95.969970703125
1832,-97.81424713134766
1840,-99.65968322753906
1848,-101.50636291503906
1856,-103.3543930053711
1864,-105.20372772216795
1872,-107.05416870117188
1880,-108.90534973144531
1888,-110.75788879394531
1896,-112.61216735839844
1904,-114.46827697753906
1912,-116.32623291015624
1920,-118.18603515625
1928,-120.04742431640624
1936,-121.91031646728516
1944,-123.7745361328125
1952,-125.63998413085938
1960,-127.50648498535156
1968,-129.37394714355472
1976,-131.24237060546878
1984,-133.11148071289062
1992,-134.98117065429688
2000,-136.85140991210938
2008,-138.72215270996094
2016,-140.59332275390622
2024,-142.46478271484375
2032,-144.33641052246094
2040,-146.2082977294922
2048,-148.08035278320312
2056,-149.95262145996094
2064,-151.82489013671875
2072,-153.6972198486328
2080,-155.56956481933594
2088,-157.44183349609375
2096,-159.3141326904297
2104,-161.18624877929688
2112,-163.058349609375
2120,-164.9303741455078
2128,-166.80227661132812
2136,-168.674072265625
2144,-170.5457763671875
2152,-172.41725158691406
2160,-174.2886505126953
2168,-176.12355041503906
2176,-177.8155975341797
2184,-179.24171447753906
2192,179.5965576171875
2200,178.64804077148438
2208,177.874755859375
2216,177.24716186523438
2224,176.74107360839844
2232,176.3360595703125
2240,176.01470947265625
2248,175.76187133789062
2256,175.56480407714844
2264,175.41278076171875
2272,175.2964630126953
2280,175.2082061767578
2288,175.14170837402344
2296,175.09210205078125
2304,175.05532836914062
2312,175.02835083007812
2320,175.00877380371094
2328,174.99465942382812
2336,174.98463439941406
2344,174.9776153564453
2352,174.97299194335938
2360,174.96995544433594
2368,174.9682159423828
