,velocity
0,0.450799971818924
8,0.6761999130249023
16,0.9016000032424928
24,1.127000093460083
32,1.3524001836776731
40,1.5778002738952637
48,1.803200364112854
56,2.0286004543304443
64,2.254000425338745
72,2.479400634765625
80,2.704800605773926
88,2.621875286102295
96,1.7638835906982422
104,1.1396650075912476
112,0.6909191608428955
120,0.3731369972229004
128,0.152457594871521
136,0.003214850323274732
144,0.09396697580814363
152,0.15364259481430054
160,0.1866833120584488
168,0.2011647522449493
176,0.20302976667881006
184,0.19662176072597504
192,0.18507333099842072
200,0.17065352201461792
208,0.5957038402557373
216,1.0620827674865725
224,1.4535698890686035
232,1.7812011241912842
240,2.061708927154541
248,2.3085644245147705
256,2.532038450241089
264,2.739752054214477
272,2.9363656044006348
280,3.1248326301574707
288,3.3072798252105717
296,3.485247611999512
304,3.659858226776123
312,3.831933975219727
320,4.0020837783813485
328,4.170755863189696
336,4.338284969329834
344,4.504923343658447
352,4.670857906341553
360,4.836231231689453
368,5.001151084899902
376,5.166086196899414
384,5.3300628662109375
392,5.494326114654541
400,5.6469268798828125
408,5.7417359352111825
416,5.8157901763916025
424,5.893146991729736
432,6.008284091949463
440,5.973830699920653
448,5.988293170928955
456,5.97224760055542
464,5.985964298248291
472,6.046610355377197
480,6.4106502532958975
488,6.702374458312987
496,6.967862129211426
504,7.211702823638916
512,7.437695503234862
520,7.649003505706787
528,7.848250865936278
536,8.037602424621582
544,8.218840599060059
552,8.393424034118652
560,8.56255054473877
568,8.727200508117676
576,8.888174057006836
584,9.046123504638672
592,9.201586723327637
600,9.354998588562012
608,9.50671672821045
616,9.657033920288086
624,9.80618667602539
632,9.95437240600586
640,10.101749420166016
648,10.24845027923584
656,10.394970893859863
664,10.34778881072998
672,10.38848114013672
680,10.3453369140625
688,10.384210586547852
696,10.461881637573242
704,10.663552284240724
712,10.850675582885742
720,11.025127410888672
728,11.189148902893066
736,11.34457778930664
744,11.492932319641113
752,11.635462760925293
760,11.773194313049315
768,11.906973838806152
776,12.037493705749512
784,12.165328025817873
792,12.290949821472168
800,12.414737701416016
808,12.53701400756836
816,12.658037185668945
824,12.778020858764648
832,12.897143363952635
840,13.015544891357422
848,13.133346557617188
856,13.250646591186525
864,13.36752223968506
872,13.48404312133789
880,13.600259780883787
888,13.716218948364258
896,13.831955909729006
904,13.947504997253418
912,14.062884330749512
920,14.178117752075195
928,14.293221473693848
936,14.408212661743164
944,14.523097038269045
952,14.637889862060547
960,14.752595901489258
968,14.867219924926758
976,14.896090507507324
984,14.889857292175293
992,14.879752159118652
1000,14.852734565734865
1008,14.823867797851562
1016,14.95847988128662
1024,15.042095184326172
1032,15.091952323913574
1040,15.115313529968262
1048,15.117926597595215
1056,15.104446411132812
1064,15.078470230102539
1072,15.042754173278807
1080,14.999452590942385
1088,14.950252532958984
1096,14.896475791931152
1104,14.839154243469238
1112,14.77910041809082
1120,14.71695041656494
1128,14.653203010559082
1136,14.588252067565918
1144,14.522403717041016
1152,14.47507095336914
1160,14.44355583190918
1168,14.41519546508789
1176,14.386360168457033
1184,14.357614517211914
1192,14.222140312194824
1200,14.06151008605957
1208,13.914371490478516
1216,13.777822494506836
1224,13.64985466003418
1232,13.528846740722654
1240,13.413500785827635
1248,13.302767753601074
1256,13.195816040039062
1264,13.091975212097168
1272,12.990711212158205
1280,12.891592025756836
1288,12.79428005218506
1296,12.698500633239744
1304,12.604036331176758
1312,12.51071548461914
1320,12.418421745300293
1328,12.32705020904541
1336,12.24563217163086
1344,12.17495822906494
1352,12.104753494262695
1360,12.036985397338867
1368,11.973172187805176
1376,11.92214584350586
1384,11.893488883972168
1392,11.887112617492676
1400,11.899556159973145
1408,11.926806449890135
1416,11.965658187866213
1424,12.013544082641602
1432,12.068415641784668
1440,12.12866497039795
1448,12.193011283874512
1456,12.260445594787598
1464,12.330166816711426
