actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.756046295166016,91.41801764880137,1.0,0.0,0.0,4.444624146976781,-3.7904820442199707,-2.3209760189056396,-413.3050537109375,9.681710243225098,-179.4218292236328,0.023000000044703484
vehicle.audi.a2,vehicle1,22.69872283935547,72.12620760804815,1.0,0.0,0.0,2.6774199369260856,2.677419900894165,0.0004392552364151925,-355.10382080078125,26.902772903442383,0.004349089227616787,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.81084442138672,175.51158025233167,1.0,0.0,0.0,3.514995424432422,3.5149946212768555,-0.002376168267801404,-272.57061767578125,37.384517669677734,-0.011260986328125,0.023000000044703484
vehicle.audi.etron,vehicle3,30.370546340942383,138.0252856282189,1.0,0.0,0.0,2.0425214792154534,-2.0425214767456055,-0.00010044617374660447,-433.6258850097656,5.4045000076293945,179.9990997314453,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,4.9588751792907715,153.64674481271044,1.0,0.0,0.0,22.16395880793483,3.5290043354034424,-21.881206512451172,-464.01580810546875,16.878555297851562,-110.45037078857422,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,2.585129499435425,126.50188084558027,1.0,0.0,0.0,8.743277433197079,0.060415785759687424,-8.74306869506836,-470.3907775878906,16.837448120117188,-143.9925994873047,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.84295082092285,91.87440551856965,1.0,0.0,0.0,4.3483771099612065,-3.7874138355255127,-2.136323928833008,-413.7607727050781,9.683361053466797,-179.36131286621094,0.023000000044703484
vehicle.audi.a2,vehicle1,22.7598876953125,72.64968502605778,1.0,0.0,0.0,2.6592586476437368,2.6592586040496826,0.0004815139982383698,-354.5808410644531,26.90281105041504,0.004374048672616482,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.8919677734375,176.49809551303815,1.0,0.0,0.0,3.5120101319889776,3.512009382247925,-0.002294819336384535,-271.5852355957031,37.38433074951172,-0.011291502974927425,0.023000000044703484
vehicle.audi.etron,vehicle3,30.417377471923828,138.72488531143293,1.0,0.0,0.0,2.0361361528616038,-2.0361361503601074,-0.00010092955199070275,-434.32513427734375,5.404510974884033,179.9990997314453,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,4.441483020782471,153.74889892238699,1.0,0.0,0.0,22.497035463405847,4.3189263343811035,-22.078575134277344,-464.0504455566406,16.986570358276367,-108.61117553710938,0.023000000044703484
