actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step,time
vehicle.audi.a2,vehicle1,0.9016000032424927,0.04665779751667082,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,0.23000000044703484
vehicle.tesla.model3,vehicle2,0.9016000032424927,0.04665779751667082,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,0.2530000004917383
vehicle.audi.etron,vehicle3,0.9016000032424927,0.04665779751667082,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,0.2760000005364418
vehicle.tesla.cybertruck,vehicle4,0.9016000032424927,0.04665779751667082,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,0.2990000005811453
vehicle.dodge.charger_police,vehicle5,0.9016000032424927,0.04665779751667082,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,0.32200000062584877
vehicle.ford.mustang,vehicle6,0.9016000032424927,0.04665779751667082,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,0.34500000067055225
vehicle.audi.tt,vehicle7,0.9016000032424927,0.04665779751667082,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,0.36800000071525574
vehicle.mercedes.coupe_2020,vehicle0,1.127000093460083,0.07257879971663356,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,0.3910000007599592
vehicle.audi.a2,vehicle1,1.127000093460083,0.07257879971663356,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,0.4140000008046627
vehicle.tesla.model3,vehicle2,1.127000093460083,0.07257879971663356,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,0.4370000008493662
vehicle.audi.etron,vehicle3,1.127000093460083,0.07257879971663356,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,0.46000000089406967
vehicle.tesla.cybertruck,vehicle4,1.127000093460083,0.07257879971663356,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,0.48300000093877316
vehicle.dodge.charger_police,vehicle5,1.127000093460083,0.07257879971663356,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,0.5060000009834766
vehicle.ford.mustang,vehicle6,1.127000093460083,0.07257879971663356,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,0.5290000010281801
vehicle.audi.tt,vehicle7,1.127000093460083,0.07257879971663356,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,0.5520000010728836
vehicle.mercedes.coupe_2020,vehicle0,1.3524001836776733,0.10368400400167704,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,0.5750000011175871
vehicle.audi.a2,vehicle1,1.3524001836776733,0.10368400400167704,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,0.5980000011622906
vehicle.tesla.model3,vehicle2,1.3524001836776733,0.10368400400167704,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,0.6210000012069941
vehicle.audi.etron,vehicle3,1.3524001836776733,0.10368400400167704,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,0.6440000012516975
vehicle.tesla.cybertruck,vehicle4,1.3524001836776733,0.10368400400167704,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,0.667000001296401
vehicle.dodge.charger_police,vehicle5,1.3524001836776733,0.10368400400167704,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,0.6900000013411045
vehicle.ford.mustang,vehicle6,1.3524001836776733,0.10368400400167704,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,0.713000001385808
vehicle.audi.tt,vehicle7,1.3524001836776733,0.10368400400167704,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,0.7360000014305115
vehicle.mercedes.coupe_2020,vehicle0,1.5778002738952637,0.13997341037180128,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,0.759000001475215
vehicle.audi.a2,vehicle1,1.5778002738952637,0.13997341037180128,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,0.7820000015199184
vehicle.tesla.model3,vehicle2,1.5778002738952637,0.13997341037180128,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,0.8050000015646219
vehicle.audi.etron,vehicle3,1.5778002738952637,0.13997341037180128,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,0.8280000016093254
vehicle.tesla.cybertruck,vehicle4,1.5778002738952637,0.13997341037180128,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,0.8510000016540289
vehicle.dodge.charger_police,vehicle5,1.5778002738952637,0.13997341037180128,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,0.8740000016987324
vehicle.ford.mustang,vehicle6,1.5778002738952637,0.13997341037180128,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,0.8970000017434359
vehicle.audi.tt,vehicle7,1.5778002738952637,0.13997341037180128,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,0.9200000017881393
vehicle.mercedes.coupe_2020,vehicle0,1.803200364112854,0.18144701882700626,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,0.9430000018328428
vehicle.audi.a2,vehicle1,1.803200364112854,0.18144701882700626,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,0.9660000018775463
vehicle.tesla.model3,vehicle2,1.803200364112854,0.18144701882700626,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,0.9890000019222498
vehicle.audi.etron,vehicle3,1.803200364112854,0.18144701882700626,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,1.0120000019669533
vehicle.tesla.cybertruck,vehicle4,1.803200364112854,0.18144701882700626,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,1.0350000020116568
