actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step
vehicle.mercedes.coupe_2020,vehicle0,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484
vehicle.audi.a2,vehicle1,0.45079997181892395,0.01036839937198758,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484
vehicle.audi.a2,vehicle1,0.45079997181892395,0.01036839937198758,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484
vehicle.tesla.model3,vehicle2,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484
vehicle.tesla.model3,vehicle2,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484
vehicle.audi.etron,vehicle3,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484
vehicle.audi.etron,vehicle3,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,0.45079997181892395,0.01036839937198758,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484
